CODIGO_UNICO,NOMBRE_INVERSION,AVANCE_FISICO,MONTO_VIABLE,DEPARTAMENTO,PROVINCIA,BENEFICIARIO,SECTOR,COSTO_ACTUALIZADO,PIM_ANIO_ACTUAL,TIPO_INVERSION,EFICIENCIA_AVANCE,BENEFICIARIOS_POR_MILLON,INDICE_PRIORIDAD,CATEGORIA_PROYECTO,ESTADO_AVANCE
2329141,"MEJORAMIENTO DEL SERVICIO DE ENERGIA ELECTRICA MEDIANTE SISTEMA CONVENCIONAL EN EL AA.HH. LA PERLA, CIUDAD SECHURA - DISTRITO DE SECHURA - PROVINCIA DE SECHURA - DEPARTAMENTO DE PIURA",84.87,318.0,PIURA,SECHURA,649,GOBIERNOS LOCALES,456748.34,0,PROYECTO DE INVERSION,266886.79245283024,2040880.5031446544,0.6546102230572477,PEQUEÑO,AVANZADO
2548989,"CONSTRUCCION DE VEREDA EN EL(LA) IE 1138 - HUALHUAS  DISTRITO DE HUALHUAS, PROVINCIA HUANCAYO, DEPARTAMENTO JUNIN",100.0,2492.82,JUNIN,HUANCAYO,0,GOBIERNOS LOCALES,2492.82,0,INVERSIONES IOARR,40115.210885663626,0.0,0.6999999673767616,PEQUEÑO,COMPLETADO
2453294,"REPARACION DE VIAS DE ACCESO EN EL(LA) DEL PAVIMENTO FLEXIBLE EN LA INTERSECCION DE LA AVENIDA 8 DE DICIEMBRE Y PASAJE SAN PEDRO EN LA LOCALIDAD HUAYAO, DISTRITO DE HUACHAC, PROVINCIA CHUPACA, DEPARTAMENTO JUNIN",100.0,2975.49,JUNIN,CHUPACA,0,GOBIERNOS LOCALES,7600.0,4000,INVERSIONES IOARR,33607.90995768764,0.0,0.699999961057582,PEQUEÑO,COMPLETADO
2514292,"ADQUISICION DE TERRENO EN EL(LA) ADQUISICION DE TERRENO EN LA LOCALIDAD QUIO, DISTRITO DE CAYNA, PROVINCIA AMBO, DEPARTAMENTO HUANUCO",100.0,3200.0,HUANUCO,AMBO,0,GOBIERNOS LOCALES,3200.0,0,INVERSIONES IOARR,31250.0,0.0,0.6999999581182672,PEQUEÑO,COMPLETADO
2636025,"ADQUISICION DE TERRENO EN EL(LA) SECTOR DE CCAYLLA CRUZ PARA FITO TOLDO DE LA LOCALIDAD DE CORCULLA  DISTRITO DE CORCULLA, PROVINCIA PAUCAR DEL SARA SARA, DEPARTAMENTO AYACUCHO",100.0,4000.0,AYACUCHO,PAUCAR DEL SARA SARA,0,GOBIERNOS LOCALES,4000.0,0,INVERSIONES IOARR,25000.0,0.0,0.699999947644561,PEQUEÑO,COMPLETADO
2493099,"ADQUISICION DE COMPUTADORA Y IMPRESORA EN EL(LA) EESS TACTA - MARISCAL CASTILLA EN LA LOCALIDAD TACTA, DISTRITO DE MARISCAL CASTILLA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO AMAZONAS",100.0,4350.0,AMAZONAS,CHACHAPOYAS,0,GOBIERNOS LOCALES,4350.0,0,INVERSIONES IOARR,22988.50574712644,0.0,0.6999999430623145,PEQUEÑO,COMPLETADO
2467821,"ADQUISICION DE TECHOS BLANDOS DESMONTABLES EN EL(LA) EESS SAURAMA - SAURAMA  DISTRITO DE SAURAMA, PROVINCIA VILCAS HUAMAN, DEPARTAMENTO AYACUCHO",100.0,4500.0,AYACUCHO,VILCAS HUAMAN,0,GOBIERNOS LOCALES,4700.0,0,INVERSIONES IOARR,22222.222222222223,0.0,0.6999999410984946,PEQUEÑO,COMPLETADO
2474914,"CONSTRUCCION DE CERCO Y/O PORTADA EN EL(LA) CEMENTERIO PACAMARCA  DISTRITO DE LEONOR ORDOÑEZ, PROVINCIA JAUJA, DEPARTAMENTO JUNIN",100.0,4502.4,JUNIN,JAUJA,0,GOBIERNOS LOCALES,4502.4,0,INVERSIONES IOARR,22210.37668798863,0.0,0.6999999410670734,PEQUEÑO,COMPLETADO
2489139,"CONSTRUCCION DE ALCANTARILLA EN EL(LA) LA INTERSECCION DEL JR.RAZURI Y LA CALLE JUAN VELASCO  DISTRITO DE SAN JUAN DE ISCOS, PROVINCIA CHUPACA, DEPARTAMENTO JUNIN",100.0,5000.2,JUNIN,CHUPACA,0,GOBIERNOS LOCALES,5000.2,0,INVERSIONES IOARR,19999.20003199872,0.0,0.6999999345498098,PEQUEÑO,COMPLETADO
2588582,"ADQUISICION DE HEMOGLOBINOMETRO EN EL(LA) OSAIGUE  DISTRITO DE SANTIAGO DE CHUCO, PROVINCIA SANTIAGO DE CHUCO, DEPARTAMENTO LA LIBERTAD",100.0,5380.0,LA LIBERTAD,SANTIAGO DE CHUCO,0,GOBIERNOS REGIONALES,3990.0,0,INVERSIONES IOARR,18587.360594795537,0.0,0.6999999295774177,PEQUEÑO,COMPLETADO
