UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,SEXO,EDAD,FACULTAD,ESCUELA_ACADEMICA,NIVEL_ACAD,ANIO_MAT1,SEM_MATRICULA1,N_RAC_DESAYUNO,N_RAC_ALMUERZO,N_RAC_CENA
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20,DERECHO Y CIENCIAS POLÍTICAS,DERECHO Y CIENCIAS POLÍTICAS,PREGRADO,2023,1,34,36,28
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20,MEDICINA VETERINARIA Y ZOOTECNIA,MEDICINA VETERINARIA,PREGRADO,2022,1,33,36,30
20508,ANCASH,BOLOGNESI,HUALLANCA,MASCULINO,21,DERECHO Y CIENCIAS POLÍTICAS,DERECHO Y CIENCIAS POLÍTICAS,PREGRADO,2021,1,32,37,31
20508,ANCASH,BOLOGNESI,HUALLANCA,MASCULINO,23,CIENCIAS CONTABLES Y FINANCIERAS,CIENCIAS CONTABLES Y FINANCIERAS,PREGRADO,2021,1,31,35,28
40101,AREQUIPA,AREQUIPA,AREQUIPA,MASCULINO,23,CIENCIAS DE LA EDUCACIÓN,"FILOSOFÍA, PSICOLOGÍA Y CIENCIAS SOCIALES",PREGRADO,2021,1,14,32,29
50501,AYACUCHO,LA MAR,SAN MIGUEL,MASCULINO,19,ENFERMERÍA,ENFERMERÍA,PREGRADO,2021,1,13,30,26
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,30,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2022,1,35,37,31
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,18,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2023,1,35,36,30
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,21,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2021,1,33,37,28
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,20,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2019,1,38,37,31
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,23,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2021,1,17,19,11
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,23,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2017,1,9,18,12
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,22,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2019,1,36,37,31
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,22,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2020,1,33,33,27
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,23,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2018,1,24,37,24
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,24,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2018,1,27,36,30
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,23,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2018,1,31,35,31
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,18,MEDICINA VETERINARIA Y ZOOTECNIA,MEDICINA VETERINARIA,PREGRADO,2023,1,24,35,28
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,23,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2018,1,14,29,21
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,19,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2021,1,33,34,29
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,19,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2021,1,34,34,28
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,24,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2017,1,29,36,31
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,23,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2020,1,36,37,30
100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,21,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2019,1,13,32,25
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,24,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2019,1,36,37,31
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,23,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS,PREGRADO,2022,1,34,36,28
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,24,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA INDUSTRIAL,PREGRADO,2022,1,36,37,31
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,25,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA INDUSTRIAL,PREGRADO,2018,1,32,37,31
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,24,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA INDUSTRIAL,PREGRADO,2018,1,31,37,24
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,20,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA INDUSTRIAL,PREGRADO,2021,1,12,34,23
100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,21,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA INDUSTRIAL,PREGRADO,2021,1,29,37,30
